card_name,card_fees,rewards,lounge_access,milestone_benefit,card_rev_cond
Paytm HDFC Bank Select Credit Card,Annual Membership Fee: Rs.1000 + GST,None,8 Complimentary access toDomestic Airport Lounges across country in a calendar year(Capped at 2 visits per Quarter).,"Earn Gift Vouchers worth Rs.500 upon spending Rs.50,000 (Non-EMI, Non-Wallet and Non-Rental Spends)every Calendar Quarter – [Select yourHealth & Wellness, Shopping, Entertainment, Food delivery, etc.];Qualified customers will be communicated for availing Gift Vouchers.","First Year Fee waived upon spending Rs.50,000 (Non-EMI Spends) within the first 90 days;Renewal Year Fee waived upon spending Rs.1,50,000 (Non-EMI Spends) in the 12 months period."
Paytm HDFC Bank Mobile Credit Card,Monthly Membership Fee: Rs. 49 + GST;Annual Membership Fee: Rs. 149 + GST,1% Cashback on all other Select Paytm Spends Max. Cap per Calendar Month - Rs. 250,None,"Upgrade to Paytm HDFC Bank Credit Card by spending Rs.10,000 in 3 consecutive months (Non-EMI Spends and Non-Rental Spends)","First Year Fee waived upon spending Rs. 1,000 (Non-EMI spends) within the first 30 days;Monthly Fee waived off on retail spends of Rs.5,000 in a month(Non-EMI Spends);Renewal Year Fee waived upon spending Rs. 25,000 (Non-EMI spends) in the 12 months period"
Regalia First Credit Card,"First Year Membership Fee – Rs. 1000/- + Applicable Taxes, Renewal Membership Fee – Rs. 1000/- + Applicable Taxes","Get upto 5% cashback on your travel and shopping spends on SmartBuy;Rewards AccrualYou earn 4 reward points on Rs. 150, on all retail* spends including Insurance, Utilities, Education and RentPay.Annual Spends Benefit;Enjoy a 1% fuel surcharge waiver at all fuel stations across India on transactions between Rs.400 and Rs.5000* No reward points are earned on fuel transactions",None,None,"Welcome Benefit of 1000 Reward Points and renewal benefit of 1000 Reward Points (applicable only after the membership fee is realized and not applicable when the fee is waived off)* Terms & Conditions Apply;Spend Rs. 1,00,000 in 12 Months and get Renewal Fee waived for next renewal year."
Diners ClubMiles Credit Card,"First year and renewal Membership Fee – ₹1,000/- + Applicable Taxes;A fee of 2.5%, with a minimum of ₹ 500, is applicable on all cash withdrawals on your card.",Earn 4 Reward Points for every ₹150 spent;Earn 1 mile per reward point,None,None,Get renewal fee waived off on annual spends of ₹1 Lakh
Paytm HDFC Bank Digital Credit Card,None,None,None,None,"Renewal Year Fee waived off on retail spends of Rs. 25,000 in a calendar year;First Year Fee waived off on retail spends of Rs. 1,500 in the first month"
Regalia Credit Card,Joining/ Renewal Membership Fee – Rs. 2500/- + Applicable Taxes.,"Earn additional 5,000 Reward Points on annual spends of Rs. 8 lakhs.;Earn 10,000 Reward Points on annual spends of Rs. 5 lakhs.;Foreign Currency Markup :2% on all your foreign currency spends.;Earn 4 Reward Points on every Rs.150retail* spends including Insurance, Utilitiesand Education;Bonus 10,000 Reward Points on Rs. 5 lakhs spends and additional 5,000 Reward Points on Rs. 8 lakhs spends in an anniversary year.;Earn 4 Reward Points on every Rs.150 spent(On all retail* spends)","Using Priority Pass, you and your add on member can together avail up to 6 Complimentary Lounge Access per calendar year, outside India.;If you exceed the 6 Complimentary visits, you will be charged at US $27 + GST per visit;12 complimentary access per calendar year within India (both at domestic and international terminals) using theHDFC Bank Regalia Credit Card","*Terms & Conditions Apply;Earn additional 5,000 Reward Points when you spend Rs. 8 lakhs spends in the anniversary year;Earn Bonus 10,000 Reward Points when you spend Rs. 5 lakhs in the anniversary year.",Welcome Benefit of 2500 Reward Points and renewal benefit of 2500 Reward Points (applicable only after the membership fee is realized and not applicable when the fee is waived off)
HDFC Bank Times Card Credit Platinum,Joining/Renewal Membership Fees ₹ 1000/- plus Applicable Taxes,"Reward Points are valid only for 2 years from the date of accumulation.;Earn 10 Reward Points* on every ₹150 spent on Dining spends on weekdays;3 Reward Points on every Rs 150 retails spends;Effective 1st July'2017,a. EasyEMI and e-wallet loading transactions will not accrue Reward points.b. Reward points accrued will be reversed if a retail transaction is converted into SmartEMI.c. Reward points accrued for Insurance transactions will have a maximum cap of 2,000 per day.d. Rewards Points will not be accrued for fuel transactions.;Effective 1stJanuary,2023we will be capping the rewards offering for payments made by customers on the following using the Times Credit Cards;Earn 3 Reward Points for every ₹150 spent on your card.",None,None,None
HDFC Bank Times Card Credit,Joining/Renewal Membership Fees ₹ 500/- plus Applicable Taxes,"Reward Points are valid only for 2 years from the date of accumulation.;2 Reward Points on every Rs 150 retails spends;Effective 1stJanuary,2023we will be capping the rewards offering for payments made by customers on the following using the Times Credit Cards;Earn 2 Reward Points for every ₹150 spent.;Earn 5 Reward Points* on every ₹150 spent on dining spends on weekdays",None,None,None
6E Rewards - IndiGo HDFC Bank Credit Card,Joining/Renewal Membership Fee – Rs. 500/- + Applicable Taxes,"1% 6E Rewards on all other spends*;Interest Free Credit Period :Up to 50 days of interest free period on your 6E Rewards - IndiGo HDFC Bank Credit Card, from the date of purchase (subject to the submission of the charge by the Merchant);Up to 10% 6E Rewards on Indigo featured partners.;2.5% 6E Rewards on IndiGo;2% 6E Rewards on Grocery, Dining & Entertainment(Grocery capping of 1000 RP in a month effective 1stJan'23)",None,"1 Complimentary IndiGo air ticket worth Rs 1,500 on making 3 or more transactions in each of the first three months after card set up*Milestone Benefit is available only on first year membership fee payment.",None
6E Rewards XL- IndiGo HDFC Bank Credit Card,"Joining/ Renewal Membership Fee – Rs.1, 500/- + Applicable Taxes","1 6E Rewards = 1 Rs.;5% 6E Rewards on IndiGo;2% 6E Rewards on all other spends*;Interest Free Credit Period :Up to 50 days of interest free period on your 6E Rewards XL - IndiGo HDFC Bank Credit Card, from the date of purchase (subject to the submission of the charge by the Merchant);Up to 15% 6E Rewards on Indigo featured partners.;3% 6E Rewards on Grocery, Dining & Entertainment(Grocery capping of 2000 RP in a month effective 1stApril’23)",8 Complimentary Domestic Lounge Access per calendar year (2 in a quarter),None,None
InterMiles HDFC Bank Diners Club Credit Card,"Joining/ Renewal Membership Fee – Rs. 5,000/- + Applicable Taxes.​​​​​​​",None,Unlimited Complimentary golf games at leading courses across India and select courses across the world:Unlimited complimentary Golf coaching at select golf courses across India,"Continue the exciting journey with 10,000 InterMiles upon spending Rs. 20,000 with in first 30 days of Anniversary date **;Rs. 1000 Flight Discount vouchers*;Experience savings on your Flight & Hotel bookings:;Rs. 2000 Hotel Discount vouchers*",None
InterMiles HDFC Bank Signature Credit Card,Joining/ Renewal Membership Fee – Rs. 2500/- + Applicable Taxes.,None,None,"Rs. 1000 Hotel Discount vouchers*;Please Note - You will be provided with a InterMiles HDFC Bank Co-brand Credit Card plastic on the VISA franchisee upon the renewal of your existing MasterCard variant. For the Card renewal date, please check your existing Card expiry date. For a seamless experience , kindly ensure your contact details are updated in the Bank records at all time. (Effective Card renewal from 01st October'17);Experience savings on your Flight & Hotel bookings:;Continue the exciting journey with 3,000 InterMiles upon spending Rs. 6,000 with in first 30 days of Anniversary date **;Rs. 750 Flight Discount vouchers*",None
InterMiles HDFC Bank Platinum Credit Card,"Joining/ Renewal Membership Fee – Rs. 1,000/- + Applicable Taxes.",None,None,"Rs. 500 flight Discount voucher*;Please Note - You will be provided with a InterMiles HDFC Bank Co-brand Credit Card plastic on the VISA franchisee upon the renewal of your existing MasterCard variant. For the Card renewal date, please check your existing Card expiry date. For a seamless experience , kindly ensure your contact details are updated in the Bank records at all time. (Effective Card renewal from 01st October'17);Experience savings on your Flight & Hotel bookings:;Continue the exciting journey with 1,500 InterMiles upon spending Rs. 3,000 with in first 30 days of Anniversary date **;Rs. 1000 Hotel Discount voucher*",None
Easy EMI Card,Joining/Renewal Membership Fee – Rs. 500/ + Applicable Taxes,"2.5% CashBack on all online spends (minimum transaction size of ₹2000, maximum CashBack = ₹750 / calendar month);1% CashBack on all offline spends and Wallet reloads (Minimum transaction size of ₹100, maximum CashBack = ₹750 / calendar month);Cashback as per product features will be credited in the form of cash points. Cash points are valid only for 1 years from the date of accumulation",None,Spend ₹20000 & above in the first 90 days and get first year memebership fee waived off.,None
All Miles Credit Card,"A fee of 2.5%, with a minimum of ₹ 500, is applicable on all cash withdrawals on your card","Get 2x reward points for hotel bookings, mobile recharge and shopping;Accumulate 3 reward points for every Rs 150 you spend",None,None,"Renew your membership free by spending ₹ 1,00,000 in a year;Get first year’s membership free by spending Rs 15,000 within the first 90 days;Get 1st year's membership free"
Bharat Credit Card,Joining / Renewal Membership Fee – Rs. 500/- Plus Applicable Taxes,None,None,None,None
Business Bharat Credit Card,None,None,None,None,None
Business Freedom Credit Card,"A fee of 2.5%, with a minimum of ₹500, is applicable on all cash withdrawals on your card.;Renew your membership annually by paying a nominal fee of ₹500",None,None,None,"Spend ₹20,000 in a year and get a waiver of next year’s annual membership"
Business Gold Credit Card,"A fee of 2.5%, with a minimum of ₹500, is applicable on all cash withdrawals on your card.;Renew your membership annually by paying a nominal fee of ₹500",Earn reward points on every spend of₹150 and above,None,None,"Spend ₹50,000 in a year and get a waiver of next year’s annual membership"
Business Platinum Credit Card,None,None,None,None,None
Business Regalia First Credit Card,None,None,None,None,None
Diners Club Premium Credit Card,"A fee of 2.5%, with a minimum of ₹ 500, is applicable on all cash withdrawals on your card",Earn 4 reward points for every Rs 150 you spend,None,None,Spend ₹ 3 lakhs in 12 months and get a free renewal
Diners Club Rewardz Credit Card,"A fee of 2.5%, with a minimum of ₹ 500, is applicable on all cash withdrawals on your card",Earn 3 reward points for every ₹ 150 you spend;Earn upto 5% cashback for spends via SmartBuy,None,None,Spend ₹ 1 lakh in 12 months and get a free renewal
Doctor's Regalia Credit Card,"First Year Membership Fee – Rs. 2500/- + Applicable Taxes, Renewal Membership Fee – Rs. 2500/- + Applicable Taxes","Reward points accrued for Insurance transactions will have a maximum cap of 2,000 per day;Regalia Reward PointsYou earn 4 reward points on Rs. 150, on all retail* spends including Insurance, Utilities, Education and Rent Pay.;Reward points are valid only for 2 years from the date of accumulation.Eg : If you have received reward points in the month of April 2019, then same will expire in April 2021.","Using Priority Pass, you and your add on member can together avail up to 6 Complimentary Lounge Access per calendar year, outside India.;If you exceed the 6 Complimentary visits, you will be charged at US $27 + GST per visit",None,Welcome Benefit of 2500 Reward Points and renewal benefit of 2500 Reward Points (applicable only after the membership fee is realized and not applicable when the fee is waived off)* Terms & Conditions Apply;Spend Rs. 3L in 12 Months and get Renewal Fee waived for next renewal year.
Doctors Superia Credit Card,None,"Reward points validityReward points are valid only for 2 years from the date of accumulation.ex:- if you receive reward points in May 2015, same will expire in May 2017.;Only retail purchases qualify for Reward Points. Cash advance, fees and other charges do not accrue any reward points. Transaction amounts less than Rs. 150 will not accrue any Reward Points.;Welcome BenefitWelcome Benefit: 1000 Reward PointsRenewal Benefit: 1000 reward points",None,None,None
JetPrivilege HDFC Bank Select / Titanium,None,None,None,None,None
Platinum Edge Credit Card,"A fee of 2.5%, with a minimum of ₹ 500, is applicable on all cash withdrawals on your card",Earn 2 reward points for every ₹ 150 you spend,None,None,"Renew your membership for free by spending Rs 50,000 in a year;Get 1st year's membership free"
Platinum Plus Credit Card,"A fee of 2.5%, with a minimum of Rs 500 is applicable on all cash withdrawals on your card.",Earn 2 reward points for every ₹ 150 you spend,None,None,Get 1st year's membership free
Solitaire Credit Card,₹500 + GST per annum,Earn 3 reward points for every Rs 150 you spend,None,None,"Spend ₹50,000 in a year and get a waiver of next year's annual membership fee"
Superia Credit Card,"A fee of 2.5%, with a minimum of ₹ 500, is applicable on all cash withdrawals on your card",Earn 3 reward points for every ₹ 150 spent. Exchange them for miles (at 0.7 miles for every point) or gifts from an exclusivereward catalogue,None,None,"Get first year's membership for free by spending ₹ 15,000 within the first 90 days;Get 1st year's membership free;Renew your membership free by spending ₹ 75,000 in a year"
Teachers Platinum Credit Card,₹ 500 + GST per annum,Weekends - 3x reward points on spends of ₹ 150. Earn as many as 2400 points in a year,None,None,"W.e.f 15 Feb'19, On Teachers Platinum Spend ₹ 50,000 annually and get the next year’s annual fee waiver."
Titanium Edge Credit Card,"A fee of 2.5%, with a minimum of ₹ 500, is applicable on all cash withdrawals on your card",Get 2 reward points for every ₹150 you spend,None,None,"Get 1st year's membership free;Renew your membership for free by spending ₹ 50,000 in a year"
Visa Signature Credit Card,"A fee of 2.5%, with a minimum of ₹ 500, is applicable on all cash withdrawals on your card",Earn two reward points for every ₹ 150 you spend,None,None,"Renew your membership for free by spending ₹ 75,000 in a year;Get your first-year’s membership free by spending ₹ 15,000 within the first 90 days;Get 1st year's membership free"
World MasterCard Credit Card,"A fee of 2.5%, with a minimum of ₹ 500, is applicable on all cash withdrawals on your card",Earn two reward points for every  ₹ 150 you spend,None,None,"Renew your membership for free by spending ₹ 75,000 in a year;Get your first-year's membership free by spending ₹ 15,000 within the first 90 days;Get 1st year's membership free"
MoneyBack Credit Card,Joining/Renewal Membership Fee – Rs. 500/- + Applicable Taxes,"Earn 2X Reward Points i.e. 4 Reward Points on every Rs. 150 spent online*;Reward Points earned on your HDFC Bank MoneyBack Credit Card are valid only for 2 years from the date of accumulation.;Earn 2 Reward Points on every Rs 150 spent(Excluding fuel transaction, wallets loads/prepaid card loads & voucher purchases)",None,None,None
